"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"2065","BTT49","2018-06-22 13:00:00","A69-1602-65068",3,"channel","Day",0.235634,"outgoing","seagrass",3,6
"2066","BTT13","2018-06-22 13:00:00","A69-1602-65069",2.8,"basin","Day",0.347577,"outgoing","seagrass",3,7
"2067","BTT54","2018-06-22 13:00:00","A69-1602-65070",3.4,"channel","Day",0.813071,"high","sand",1,4
"2068","BTT46","2018-06-22 13:00:00","A69-1602-65071",2,"basin","Day",0.235634,"outgoing","seagrass",1,0
"2069","BTT17","2018-06-22 13:00:00","A69-1602-65155",3,"bank","Day",0.380539,"outgoing","sand",1,10
"2070","BTT37","2018-06-22 13:00:00","A69-1602-65067",3,"bank","Day",0.235634,"outgoing","seagrass",3,12
"2071","BTT18","2018-06-22 14:00:00","A69-1602-65064",2.1,"channel","Day",0.347577,"outgoing","seagrass",2,0
"2072","BTT27","2018-06-22 14:00:00","A69-1602-65065",2.7,"bank","Day",0.347577,"outgoing","sand",1,4
"2073","BTT7","2018-06-22 14:00:00","A69-1602-65066",1.6,"basin","Day",0.285646,"outgoing","seagrass",2,11
"2074","BTT49","2018-06-22 14:00:00","A69-1602-65068",3,"channel","Day",0.149938,"outgoing","seagrass",3,5
"2075","BTT13","2018-06-22 14:00:00","A69-1602-65069",2.8,"basin","Day",0.201527,"outgoing","seagrass",3,4
"2076","BTT54","2018-06-22 14:00:00","A69-1602-65070",3.4,"channel","Day",0.763715,"high","sand",1,10
"2077","BTT46","2018-06-22 14:00:00","A69-1602-65071",2,"basin","Day",0.149938,"outgoing","seagrass",1,0
"2078","BTT17","2018-06-22 14:00:00","A69-1602-65155",3,"bank","Day",0.285646,"outgoing","sand",1,9
"2079","BTT37","2018-06-22 14:00:00","A69-1602-65067",3,"bank","Day",0.149938,"outgoing","seagrass",3,11
"2080","BTT18","2018-06-22 15:00:00","A69-1602-65064",2.1,"channel","Day",0.201527,"outgoing","seagrass",2,2
"2081","BTT27","2018-06-22 15:00:00","A69-1602-65065",2.7,"bank","Day",0.201527,"outgoing","sand",1,1
"2082","BTT7","2018-06-22 15:00:00","A69-1602-65066",1.6,"basin","Day",0.188883,"outgoing","seagrass",2,11
"2083","BTT49","2018-06-22 15:00:00","A69-1602-65068",3,"channel","Day",0.079227,"outgoing","seagrass",3,9
"2084","BTT13","2018-06-22 15:00:00","A69-1602-65069",2.8,"basin","Day",0.100173,"low","seagrass",3,3
"2085","BTT54","2018-06-22 15:00:00","A69-1602-65070",3.4,"channel","Day",0.658345,"outgoing","sand",1,10
"2086","BTT46","2018-06-22 15:00:00","A69-1602-65071",2,"basin","Day",0.079227,"outgoing","seagrass",1,0
"2087","BTT17","2018-06-22 15:00:00","A69-1602-65155",3,"bank","Day",0.188883,"outgoing","sand",1,9
"2088","BTT37","2018-06-22 15:00:00","A69-1602-65067",3,"bank","Day",0.079227,"outgoing","seagrass",3,12
"2089","BTT18","2018-06-22 16:00:00","A69-1602-65064",2.1,"channel","Day",0.100173,"low","seagrass",2,5
"2090","BTT27","2018-06-22 16:00:00","A69-1602-65065",2.7,"bank","Day",0.100173,"low","sand",1,0
"2091","BTT7","2018-06-22 16:00:00","A69-1602-65066",1.6,"basin","Day",0.105782,"outgoing","seagrass",2,12
"2092","BTT49","2018-06-22 16:00:00","A69-1602-65068",3,"channel","Day",0.040259,"low","seagrass",3,7
"2093","BTT13","2018-06-22 16:00:00","A69-1602-65069",2.8,"basin","Day",0.057709,"low","seagrass",3,0
"2094","BTT54","2018-06-22 16:00:00","A69-1602-65070",3.4,"channel","Day",0.510674,"outgoing","sand",1,12
"2095","BTT46","2018-06-22 16:00:00","A69-1602-65071",2,"basin","Day",0.040259,"low","seagrass",1,0
"2096","BTT17","2018-06-22 16:00:00","A69-1602-65155",3,"bank","Day",0.105782,"outgoing","sand",1,8
"2097","BTT37","2018-06-22 16:00:00","A69-1602-65067",3,"bank","Day",0.040259,"low","seagrass",3,12
"2098","BTT18","2018-06-22 17:00:00","A69-1602-65064",2.1,"channel","Day",0.057709,"low","seagrass",2,4
"2099","BTT27","2018-06-22 17:00:00","A69-1602-65065",2.7,"bank","Day",0.057709,"low","sand",1,2
"2100","BTT7","2018-06-22 17:00:00","A69-1602-65066",1.6,"basin","Day",0.048581,"low","seagrass",2,12
"2101","BTT49","2018-06-22 17:00:00","A69-1602-65068",3,"channel","Day",0.038023,"low","seagrass",3,4
"2102","BTT13","2018-06-22 17:00:00","A69-1602-65069",2.8,"basin","Day",0.090694,"low","seagrass",3,0
"2103","BTT54","2018-06-22 17:00:00","A69-1602-65070",3.4,"channel","Day",0.347577,"outgoing","sand",1,10
"2104","BTT46","2018-06-22 17:00:00","A69-1602-65071",2,"basin","Day",0.038023,"low","seagrass",1,0
"2105","BTT17","2018-06-22 17:00:00","A69-1602-65155",3,"bank","Day",0.048581,"low","sand",1,10
"2106","BTT37","2018-06-22 17:00:00","A69-1602-65067",3,"bank","Day",0.038023,"low","seagrass",3,12
"2107","BTT18","2018-06-22 18:00:00","A69-1602-65064",2.1,"channel","Day",0.090694,"low","seagrass",2,0
"2108","BTT27","2018-06-22 18:00:00","A69-1602-65065",2.7,"bank","Day",0.090694,"low","sand",1,4
"2109","BTT7","2018-06-22 18:00:00","A69-1602-65066",1.6,"basin","Day",0.023227,"low","seagrass",2,11
"2110","BTT49","2018-06-22 18:00:00","A69-1602-65068",3,"channel","Day",0.068393,"low","seagrass",3,5
"2111","BTT13","2018-06-22 18:00:00","A69-1602-65069",2.8,"basin","Day",0.203681,"incoming","seagrass",3,5
"2112","BTT54","2018-06-22 18:00:00","A69-1602-65070",3.4,"channel","Day",0.201527,"outgoing","sand",1,5
"2113","BTT46","2018-06-22 18:00:00","A69-1602-65071",2,"basin","Day",0.068393,"low","seagrass",1,0
"2114","BTT17","2018-06-22 18:00:00","A69-1602-65155",3,"bank","Day",0.023227,"low","sand",1,11
"2115","BTT37","2018-06-22 18:00:00","A69-1602-65067",3,"bank","Day",0.068393,"low","seagrass",3,12
"2116","BTT18","2018-06-22 19:00:00","A69-1602-65064",2.1,"channel","Day",0.203681,"incoming","seagrass",2,3
"2117","BTT27","2018-06-22 19:00:00","A69-1602-65065",2.7,"bank","Day",0.203681,"incoming","sand",1,2
"2118","BTT7","2018-06-22 19:00:00","A69-1602-65066",1.6,"basin","Day",0.048585,"low","seagrass",2,12
"2119","BTT49","2018-06-22 19:00:00","A69-1602-65068",3,"channel","Day",0.116587,"incoming","seagrass",3,5
"2120","BTT13","2018-06-22 19:00:00","A69-1602-65069",2.8,"basin","Day",0.342616,"incoming","seagrass",3,8
"2121","BTT54","2018-06-22 19:00:00","A69-1602-65070",3.4,"channel","Day",0.100173,"low","sand",1,11
"2122","BTT46","2018-06-22 19:00:00","A69-1602-65071",2,"basin","Day",0.116587,"incoming","seagrass",1,0
"2123","BTT17","2018-06-22 19:00:00","A69-1602-65155",3,"bank","Day",0.048585,"low","sand",1,10
"2124","BTT37","2018-06-22 19:00:00","A69-1602-65067",3,"bank","Day",0.116587,"incoming","seagrass",3,12
"2125","BTT18","2018-06-22 20:00:00","A69-1602-65064",2.1,"channel","Day",0.342616,"incoming","seagrass",2,1
"2126","BTT27","2018-06-22 20:00:00","A69-1602-65065",2.7,"bank","Day",0.342616,"incoming","sand",1,0
"2127","BTT7","2018-06-22 20:00:00","A69-1602-65066",1.6,"basin","Day",0.14649,"incoming","seagrass",2,11
"2128","BTT49","2018-06-22 20:00:00","A69-1602-65068",3,"channel","Day",0.169323,"incoming","seagrass",3,6
"2129","BTT13","2018-06-22 20:00:00","A69-1602-65069",2.8,"basin","Day",0.470891,"incoming","seagrass",3,11
"2130","BTT54","2018-06-22 20:00:00","A69-1602-65070",3.4,"channel","Day",0.057709,"low","sand",1,6
"2131","BTT46","2018-06-22 20:00:00","A69-1602-65071",2,"basin","Day",0.169323,"incoming","seagrass",1,0
"2132","BTT17","2018-06-22 20:00:00","A69-1602-65155",3,"bank","Day",0.14649,"incoming","sand",1,8
"2133","BTT37","2018-06-22 20:00:00","A69-1602-65067",3,"bank","Day",0.169323,"incoming","seagrass",3,11
"2134","BTT18","2018-06-22 21:00:00","A69-1602-65064",2.1,"channel","Night",0.470891,"incoming","seagrass",2,1
"2135","BTT27","2018-06-22 21:00:00","A69-1602-65065",2.7,"bank","Night",0.470891,"incoming","sand",1,0
"2136","BTT7","2018-06-22 21:00:00","A69-1602-65066",1.6,"basin","Night",0.259536,"incoming","seagrass",2,11
"2137","BTT49","2018-06-22 21:00:00","A69-1602-65068",3,"channel","Night",0.217837,"incoming","seagrass",3,4
"2138","BTT13","2018-06-22 21:00:00","A69-1602-65069",2.8,"basin","Night",0.555335,"high","seagrass",3,10
"2139","BTT54","2018-06-22 21:00:00","A69-1602-65070",3.4,"channel","Night",0.090694,"low","sand",1,10
"2140","BTT46","2018-06-22 21:00:00","A69-1602-65071",2,"basin","Night",0.217837,"incoming","seagrass",1,7
"2141","BTT17","2018-06-22 21:00:00","A69-1602-65155",3,"bank","Night",0.259536,"incoming","sand",1,9
"2142","BTT37","2018-06-22 21:00:00","A69-1602-65067",3,"bank","Night",0.217837,"incoming","seagrass",3,7
"2143","BTT18","2018-06-22 22:00:00","A69-1602-65064",2.1,"channel","Night",0.555335,"high","seagrass",2,1
"2144","BTT27","2018-06-22 22:00:00","A69-1602-65065",2.7,"bank","Night",0.555335,"high","sand",1,0
"2145","BTT7","2018-06-22 22:00:00","A69-1602-65066",1.6,"basin","Night",0.34742,"high","seagrass",2,12
"2146","BTT49","2018-06-22 22:00:00","A69-1602-65068",3,"channel","Night",0.253517,"high","seagrass",3,2
"2147","BTT13","2018-06-22 22:00:00","A69-1602-65069",2.8,"basin","Night",0.5623,"high","seagrass",3,12
"2148","BTT54","2018-06-22 22:00:00","A69-1602-65070",3.4,"channel","Night",0.203681,"incoming","sand",1,10
"2149","BTT46","2018-06-22 22:00:00","A69-1602-65071",2,"basin","Night",0.253517,"high","seagrass",1,10
"2150","BTT17","2018-06-22 22:00:00","A69-1602-65155",3,"bank","Night",0.34742,"high","sand",1,11
"2151","BTT37","2018-06-22 22:00:00","A69-1602-65067",3,"bank","Night",0.253517,"high","seagrass",3,2
"2152","BTT18","2018-06-22 23:00:00","A69-1602-65064",2.1,"channel","Night",0.5623,"high","seagrass",2,4
"2153","BTT27","2018-06-22 23:00:00","A69-1602-65065",2.7,"bank","Night",0.5623,"high","sand",1,0
"2154","BTT7","2018-06-22 23:00:00","A69-1602-65066",1.6,"basin","Night",0.368424,"high","seagrass",2,10
"2155","BTT49","2018-06-22 23:00:00","A69-1602-65068",3,"channel","Night",0.265318,"high","seagrass",3,3
"2156","BTT13","2018-06-22 23:00:00","A69-1602-65069",2.8,"basin","Night",0.516176,"high","seagrass",3,12
"2157","BTT54","2018-06-22 23:00:00","A69-1602-65070",3.4,"channel","Night",0.342616,"incoming","sand",1,8
"2158","BTT46","2018-06-22 23:00:00","A69-1602-65071",2,"basin","Night",0.265318,"high","seagrass",1,7
"2159","BTT17","2018-06-22 23:00:00","A69-1602-65155",3,"bank","Night",0.368424,"high","sand",1,9
"2160","BTT37","2018-06-22 23:00:00","A69-1602-65067",3,"bank","Night",0.265318,"high","seagrass",3,5
"2161","BTT18","2018-06-23 00:00:00","A69-1602-65064",2.1,"channel","Night",0.516176,"high","seagrass",2,10
"2162","BTT27","2018-06-23 00:00:00","A69-1602-65065",2.7,"bank","Night",0.516176,"high","sand",1,3
"2163","BTT7","2018-06-23 00:00:00","A69-1602-65066",1.6,"basin","Night",0.3474,"high","seagrass",2,12
"2164","BTT49","2018-06-23 00:00:00","A69-1602-65068",3,"channel","Night",0.248043,"high","seagrass",3,3
"2165","BTT13","2018-06-23 00:00:00","A69-1602-65069",2.8,"basin","Night",0.429402,"outgoing","seagrass",3,12
"2166","BTT54","2018-06-23 00:00:00","A69-1602-65070",3.4,"channel","Night",0.470891,"incoming","sand",1,11
"2167","BTT46","2018-06-23 00:00:00","A69-1602-65071",2,"basin","Night",0.248043,"high","seagrass",1,10
"2168","BTT17","2018-06-23 00:00:00","A69-1602-65155",3,"bank","Night",0.3474,"high","sand",1,12
"2169","BTT37","2018-06-23 00:00:00","A69-1602-65067",3,"bank","Night",0.248043,"high","seagrass",3,4
"2170","BTT18","2018-06-23 01:00:00","A69-1602-65064",2.1,"channel","Night",0.429402,"outgoing","seagrass",2,5
"2171","BTT27","2018-06-23 01:00:00","A69-1602-65065",2.7,"bank","Night",0.429402,"outgoing","sand",1,4
"2172","BTT7","2018-06-23 01:00:00","A69-1602-65066",1.6,"basin","Night",0.301687,"outgoing","seagrass",2,12
"2173","BTT49","2018-06-23 01:00:00","A69-1602-65068",3,"channel","Night",0.205236,"outgoing","seagrass",3,2
"2174","BTT13","2018-06-23 01:00:00","A69-1602-65069",2.8,"basin","Night",0.320489,"outgoing","seagrass",3,12
"2175","BTT54","2018-06-23 01:00:00","A69-1602-65070",3.4,"channel","Night",0.555335,"high","sand",1,12
"2176","BTT46","2018-06-23 01:00:00","A69-1602-65071",2,"basin","Night",0.205236,"outgoing","seagrass",1,11
"2177","BTT17","2018-06-23 01:00:00","A69-1602-65155",3,"bank","Night",0.301687,"outgoing","sand",1,11
"2178","BTT37","2018-06-23 01:00:00","A69-1602-65067",3,"bank","Night",0.205236,"outgoing","seagrass",3,11
"2179","BTT18","2018-06-23 02:00:00","A69-1602-65064",2.1,"channel","Night",0.320489,"outgoing","seagrass",2,4
"2180","BTT27","2018-06-23 02:00:00","A69-1602-65065",2.7,"bank","Night",0.320489,"outgoing","sand",1,5
"2181","BTT7","2018-06-23 02:00:00","A69-1602-65066",1.6,"basin","Night",0.237752,"outgoing","seagrass",2,12
"2182","BTT49","2018-06-23 02:00:00","A69-1602-65068",3,"channel","Night",0.149642,"outgoing","seagrass",3,9
"2183","BTT13","2018-06-23 02:00:00","A69-1602-65069",2.8,"basin","Night",0.217038,"outgoing","seagrass",3,11
"2184","BTT54","2018-06-23 02:00:00","A69-1602-65070",3.4,"channel","Night",0.5623,"high","sand",1,9
"2185","BTT46","2018-06-23 02:00:00","A69-1602-65071",2,"basin","Night",0.149642,"outgoing","seagrass",1,8
"2186","BTT17","2018-06-23 02:00:00","A69-1602-65155",3,"bank","Night",0.237752,"outgoing","sand",1,11
"2187","BTT37","2018-06-23 02:00:00","A69-1602-65067",3,"bank","Night",0.149642,"outgoing","seagrass",3,12
"2188","BTT18","2018-06-23 03:00:00","A69-1602-65064",2.1,"channel","Night",0.217038,"outgoing","seagrass",2,5
"2189","BTT27","2018-06-23 03:00:00","A69-1602-65065",2.7,"bank","Night",0.217038,"outgoing","sand",1,9
"2190","BTT7","2018-06-23 03:00:00","A69-1602-65066",1.6,"basin","Night",0.167213,"outgoing","seagrass",2,11
"2191","BTT49","2018-06-23 03:00:00","A69-1602-65068",3,"channel","Night",0.101498,"low","seagrass",3,6
"2192","BTT13","2018-06-23 03:00:00","A69-1602-65069",2.8,"basin","Night",0.147406,"low","seagrass",3,12
"2193","BTT54","2018-06-23 03:00:00","A69-1602-65070",3.4,"channel","Night",0.516176,"high","sand",1,11
"2194","BTT46","2018-06-23 03:00:00","A69-1602-65071",2,"basin","Night",0.101498,"low","seagrass",1,4
"2195","BTT17","2018-06-23 03:00:00","A69-1602-65155",3,"bank","Night",0.167213,"outgoing","sand",1,11
"2196","BTT37","2018-06-23 03:00:00","A69-1602-65067",3,"bank","Night",0.101498,"low","seagrass",3,11
"2197","BTT18","2018-06-23 04:00:00","A69-1602-65064",2.1,"channel","Night",0.147406,"low","seagrass",2,11
"2198","BTT27","2018-06-23 04:00:00","A69-1602-65065",2.7,"bank","Night",0.147406,"low","sand",1,8
"2199","BTT7","2018-06-23 04:00:00","A69-1602-65066",1.6,"basin","Night",0.104287,"outgoing","seagrass",2,7
"2200","BTT49","2018-06-23 04:00:00","A69-1602-65068",3,"channel","Night",0.079685,"low","seagrass",3,7
"2201","BTT13","2018-06-23 04:00:00","A69-1602-65069",2.8,"basin","Night",0.133071,"low","seagrass",3,11
"2202","BTT54","2018-06-23 04:00:00","A69-1602-65070",3.4,"channel","Night",0.429402,"outgoing","sand",1,11
"2203","BTT46","2018-06-23 04:00:00","A69-1602-65071",2,"basin","Night",0.079685,"low","seagrass",1,6
"2204","BTT17","2018-06-23 04:00:00","A69-1602-65155",3,"bank","Night",0.104287,"outgoing","sand",1,11
"2205","BTT37","2018-06-23 04:00:00","A69-1602-65067",3,"bank","Night",0.079685,"low","seagrass",3,8
"2206","BTT18","2018-06-23 05:00:00","A69-1602-65064",2.1,"channel","Night",0.133071,"low","seagrass",2,7
"2207","BTT27","2018-06-23 05:00:00","A69-1602-65065",2.7,"bank","Night",0.133071,"low","sand",1,6
"2208","BTT7","2018-06-23 05:00:00","A69-1602-65066",1.6,"basin","Night",0.06239,"low","seagrass",2,7
"2209","BTT49","2018-06-23 05:00:00","A69-1602-65068",3,"channel","Night",0.095628,"low","seagrass",3,9
"2210","BTT13","2018-06-23 05:00:00","A69-1602-65069",2.8,"basin","Night",0.225912,"low","seagrass",3,7
"2211","BTT54","2018-06-23 05:00:00","A69-1602-65070",3.4,"channel","Night",0.320489,"outgoing","sand",1,7
"2212","BTT46","2018-06-23 05:00:00","A69-1602-65071",2,"basin","Night",0.095628,"low","seagrass",1,5
"2213","BTT17","2018-06-23 05:00:00","A69-1602-65155",3,"bank","Night",0.06239,"low","sand",1,12
"2214","BTT37","2018-06-23 05:00:00","A69-1602-65067",3,"bank","Night",0.095628,"low","seagrass",3,12
"2215","BTT18","2018-06-23 06:00:00","A69-1602-65064",2.1,"channel","Night",0.225912,"low","seagrass",2,5
"2216","BTT27","2018-06-23 06:00:00","A69-1602-65065",2.7,"bank","Night",0.225912,"low","sand",1,0
"2217","BTT7","2018-06-23 06:00:00","A69-1602-65066",1.6,"basin","Night",0.051576,"low","seagrass",2,12
"2218","BTT49","2018-06-23 06:00:00","A69-1602-65068",3,"channel","Night",0.147515,"incoming","seagrass",3,9
"2219","BTT13","2018-06-23 06:00:00","A69-1602-65069",2.8,"basin","Night",0.402983,"incoming","seagrass",3,11
"2220","BTT54","2018-06-23 06:00:00","A69-1602-65070",3.4,"channel","Night",0.217038,"outgoing","sand",1,10
"2221","BTT46","2018-06-23 06:00:00","A69-1602-65071",2,"basin","Night",0.147515,"incoming","seagrass",1,0
"2222","BTT17","2018-06-23 06:00:00","A69-1602-65155",3,"bank","Night",0.051576,"low","sand",1,8
"2223","BTT37","2018-06-23 06:00:00","A69-1602-65067",3,"bank","Night",0.147515,"incoming","seagrass",3,12
"2224","BTT18","2018-06-23 07:00:00","A69-1602-65064",2.1,"channel","Day",0.402983,"incoming","seagrass",2,2
"2225","BTT27","2018-06-23 07:00:00","A69-1602-65065",2.7,"bank","Day",0.402983,"incoming","sand",1,0
"2226","BTT7","2018-06-23 07:00:00","A69-1602-65066",1.6,"basin","Day",0.131352,"low","seagrass",2,11
"2227","BTT49","2018-06-23 07:00:00","A69-1602-65068",3,"channel","Day",0.218154,"incoming","seagrass",3,9
"2228","BTT13","2018-06-23 07:00:00","A69-1602-65069",2.8,"basin","Day",0.596752,"incoming","seagrass",3,8
"2229","BTT54","2018-06-23 07:00:00","A69-1602-65070",3.4,"channel","Day",0.147406,"low","sand",1,6
"2230","BTT46","2018-06-23 07:00:00","A69-1602-65071",2,"basin","Day",0.218154,"incoming","seagrass",1,7
"2231","BTT17","2018-06-23 07:00:00","A69-1602-65155",3,"bank","Day",0.131352,"low","sand",1,5
"2232","BTT37","2018-06-23 07:00:00","A69-1602-65067",3,"bank","Day",0.218154,"incoming","seagrass",3,11
"2233","BTT18","2018-06-23 08:00:00","A69-1602-65064",2.1,"channel","Day",0.596752,"incoming","seagrass",2,2
"2234","BTT27","2018-06-23 08:00:00","A69-1602-65065",2.7,"bank","Day",0.596752,"incoming","sand",1,0
"2235","BTT7","2018-06-23 08:00:00","A69-1602-65066",1.6,"basin","Day",0.284903,"incoming","seagrass",2,10
"2236","BTT49","2018-06-23 08:00:00","A69-1602-65068",3,"channel","Day",0.290058,"incoming","seagrass",3,8
"2237","BTT13","2018-06-23 08:00:00","A69-1602-65069",2.8,"basin","Day",0.759284,"incoming","seagrass",3,12
"2238","BTT54","2018-06-23 08:00:00","A69-1602-65070",3.4,"channel","Day",0.133071,"low","sand",1,4
"2239","BTT46","2018-06-23 08:00:00","A69-1602-65071",2,"basin","Day",0.290058,"incoming","seagrass",1,0
"2240","BTT17","2018-06-23 08:00:00","A69-1602-65155",3,"bank","Day",0.284903,"incoming","sand",1,8
"2241","BTT37","2018-06-23 08:00:00","A69-1602-65067",3,"bank","Day",0.290058,"incoming","seagrass",3,12
"2242","BTT18","2018-06-23 09:00:00","A69-1602-65064",2.1,"channel","Day",0.759284,"incoming","seagrass",2,0
"2243","BTT27","2018-06-23 09:00:00","A69-1602-65065",2.7,"bank","Day",0.759284,"incoming","sand",1,0
"2244","BTT7","2018-06-23 09:00:00","A69-1602-65066",1.6,"basin","Day",0.437937,"incoming","seagrass",2,11
"2245","BTT49","2018-06-23 09:00:00","A69-1602-65068",3,"channel","Day",0.351403,"incoming","seagrass",3,7
"2246","BTT13","2018-06-23 09:00:00","A69-1602-65069",2.8,"basin","Day",0.856138,"high","seagrass",3,12
"2247","BTT54","2018-06-23 09:00:00","A69-1602-65070",3.4,"channel","Day",0.225912,"low","sand",1,10
"2248","BTT46","2018-06-23 09:00:00","A69-1602-65071",2,"basin","Day",0.351403,"incoming","seagrass",1,1
"2249","BTT17","2018-06-23 09:00:00","A69-1602-65155",3,"bank","Day",0.437937,"incoming","sand",1,11
"2250","BTT37","2018-06-23 09:00:00","A69-1602-65067",3,"bank","Day",0.351403,"incoming","seagrass",3,13
"2251","BTT18","2018-06-23 10:00:00","A69-1602-65064",2.1,"channel","Day",0.856138,"high","seagrass",2,0
"2252","BTT27","2018-06-23 10:00:00","A69-1602-65065",2.7,"bank","Day",0.856138,"high","sand",1,0
"2253","BTT7","2018-06-23 10:00:00","A69-1602-65066",1.6,"basin","Day",0.542851,"high","seagrass",2,9
"2254","BTT49","2018-06-23 10:00:00","A69-1602-65068",3,"channel","Day",0.39322,"high","seagrass",3,8
"2255","BTT13","2018-06-23 10:00:00","A69-1602-65069",2.8,"basin","Day",0.858319,"high","seagrass",3,11
"2256","BTT54","2018-06-23 10:00:00","A69-1602-65070",3.4,"channel","Day",0.402983,"incoming","sand",1,11
"2257","BTT46","2018-06-23 10:00:00","A69-1602-65071",2,"basin","Day",0.39322,"high","seagrass",1,0
"2258","BTT17","2018-06-23 10:00:00","A69-1602-65155",3,"bank","Day",0.542851,"high","sand",1,7
"2259","BTT37","2018-06-23 10:00:00","A69-1602-65067",3,"bank","Day",0.39322,"high","seagrass",3,9
"2260","BTT18","2018-06-23 11:00:00","A69-1602-65064",2.1,"channel","Day",0.858319,"high","seagrass",2,4
"2261","BTT27","2018-06-23 11:00:00","A69-1602-65065",2.7,"bank","Day",0.858319,"high","sand",1,2
"2262","BTT7","2018-06-23 11:00:00","A69-1602-65066",1.6,"basin","Day",0.562457,"high","seagrass",2,12
"2263","BTT49","2018-06-23 11:00:00","A69-1602-65068",3,"channel","Day",0.404929,"high","seagrass",3,8
"2264","BTT13","2018-06-23 11:00:00","A69-1602-65069",2.8,"basin","Day",0.7946,"high","seagrass",3,11
"2265","BTT54","2018-06-23 11:00:00","A69-1602-65070",3.4,"channel","Day",0.596752,"incoming","sand",1,10
"2266","BTT46","2018-06-23 11:00:00","A69-1602-65071",2,"basin","Day",0.404929,"high","seagrass",1,0
"2267","BTT17","2018-06-23 11:00:00","A69-1602-65155",3,"bank","Day",0.562457,"high","sand",1,9
"2268","BTT37","2018-06-23 11:00:00","A69-1602-65067",3,"bank","Day",0.404929,"high","seagrass",3,5
"2269","BTT18","2018-06-23 12:00:00","A69-1602-65064",2.1,"channel","Day",0.7946,"high","seagrass",2,3
"2270","BTT27","2018-06-23 12:00:00","A69-1602-65065",2.7,"bank","Day",0.7946,"high","sand",1,2
"2271","BTT7","2018-06-23 12:00:00","A69-1602-65066",1.6,"basin","Day",0.535088,"high","seagrass",2,11
"2272","BTT49","2018-06-23 12:00:00","A69-1602-65068",3,"channel","Day",0.379901,"high","seagrass",3,9
"2273","BTT13","2018-06-23 12:00:00","A69-1602-65069",2.8,"basin","Day",0.671363,"outgoing","seagrass",3,10
"2274","BTT54","2018-06-23 12:00:00","A69-1602-65070",3.4,"channel","Day",0.759284,"incoming","sand",1,12
"2275","BTT46","2018-06-23 12:00:00","A69-1602-65071",2,"basin","Day",0.379901,"high","seagrass",1,0
"2276","BTT17","2018-06-23 12:00:00","A69-1602-65155",3,"bank","Day",0.535088,"high","sand",1,11
"2277","BTT37","2018-06-23 12:00:00","A69-1602-65067",3,"bank","Day",0.379901,"high","seagrass",3,12
"2278","BTT18","2018-06-23 13:00:00","A69-1602-65064",2.1,"channel","Day",0.671363,"outgoing","seagrass",2,3
"2279","BTT27","2018-06-23 13:00:00","A69-1602-65065",2.7,"bank","Day",0.671363,"outgoing","sand",1,0
"2280","BTT7","2018-06-23 13:00:00","A69-1602-65066",1.6,"basin","Day",0.475537,"outgoing","seagrass",2,10
"2281","BTT49","2018-06-23 13:00:00","A69-1602-65068",3,"channel","Day",0.31753,"outgoing","seagrass",3,6
"2282","BTT13","2018-06-23 13:00:00","A69-1602-65069",2.8,"basin","Day",0.504328,"outgoing","seagrass",3,11
"2283","BTT54","2018-06-23 13:00:00","A69-1602-65070",3.4,"channel","Day",0.856138,"high","sand",1,8
"2284","BTT46","2018-06-23 13:00:00","A69-1602-65071",2,"basin","Day",0.31753,"outgoing","seagrass",1,0
"2285","BTT17","2018-06-23 13:00:00","A69-1602-65155",3,"bank","Day",0.475537,"outgoing","sand",1,10
"2286","BTT37","2018-06-23 13:00:00","A69-1602-65067",3,"bank","Day",0.31753,"outgoing","seagrass",3,13
"2287","BTT18","2018-06-23 14:00:00","A69-1602-65064",2.1,"channel","Day",0.504328,"outgoing","seagrass",2,0
"2288","BTT27","2018-06-23 14:00:00","A69-1602-65065",2.7,"bank","Day",0.504328,"outgoing","sand",1,0
"2289","BTT7","2018-06-23 14:00:00","A69-1602-65066",1.6,"basin","Day",0.388269,"outgoing","seagrass",2,12
"2290","BTT49","2018-06-23 14:00:00","A69-1602-65068",3,"channel","Day",0.227503,"outgoing","seagrass",3,8
"2291","BTT13","2018-06-23 14:00:00","A69-1602-65069",2.8,"basin","Day",0.323132,"outgoing","seagrass",3,9
"2292","BTT54","2018-06-23 14:00:00","A69-1602-65070",3.4,"channel","Day",0.858319,"high","sand",1,6
"2293","BTT46","2018-06-23 14:00:00","A69-1602-65071",2,"basin","Day",0.227503,"outgoing","seagrass",1,0
"2294","BTT17","2018-06-23 14:00:00","A69-1602-65155",3,"bank","Day",0.388269,"outgoing","sand",1,11
"2295","BTT37","2018-06-23 14:00:00","A69-1602-65067",3,"bank","Day",0.227503,"outgoing","seagrass",3,10
"2296","BTT18","2018-06-23 15:00:00","A69-1602-65064",2.1,"channel","Day",0.323132,"outgoing","seagrass",2,7
"2297","BTT27","2018-06-23 15:00:00","A69-1602-65065",2.7,"bank","Day",0.323132,"outgoing","sand",1,0
"2298","BTT7","2018-06-23 15:00:00","A69-1602-65066",1.6,"basin","Day",0.284478,"outgoing","seagrass",2,10
"2299","BTT49","2018-06-23 15:00:00","A69-1602-65068",3,"channel","Day",0.131014,"outgoing","seagrass",3,2
"2300","BTT13","2018-06-23 15:00:00","A69-1602-65069",2.8,"basin","Day",0.163085,"outgoing","seagrass",3,12
"2301","BTT54","2018-06-23 15:00:00","A69-1602-65070",3.4,"channel","Day",0.7946,"high","sand",1,12
