"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"55","BTT18","2018-06-13 06:00:00","A69-1602-65064",2.1,"channel","Night",0.214884,"outgoing","seagrass",2,10
"56","BTT27","2018-06-13 06:00:00","A69-1602-65065",2.7,"bank","Night",0.214884,"outgoing","sand",1,2
"57","BTT7","2018-06-13 06:00:00","A69-1602-65066",1.6,"basin","Night",0.17476,"outgoing","seagrass",2,11
"58","BTT49","2018-06-13 06:00:00","A69-1602-65068",3,"channel","Night",0.096966,"low","seagrass",3,2
"59","BTT13","2018-06-13 06:00:00","A69-1602-65069",2.8,"basin","Night",0.137027,"low","seagrass",3,9
"60","BTT54","2018-06-13 06:00:00","A69-1602-65070",3.4,"channel","Night",0.560561,"high","sand",1,12
"61","BTT46","2018-06-13 06:00:00","A69-1602-65071",2,"basin","Night",0.096966,"low","seagrass",1,5
"62","BTT17","2018-06-13 06:00:00","A69-1602-65155",3,"bank","Night",0.17476,"outgoing","sand",1,12
"63","BTT37","2018-06-13 06:00:00","A69-1602-65067",3,"bank","Night",0.096966,"low","seagrass",3,10
"64","BTT18","2018-06-13 07:00:00","A69-1602-65064",2.1,"channel","Day",0.137027,"low","seagrass",2,1
"65","BTT27","2018-06-13 07:00:00","A69-1602-65065",2.7,"bank","Day",0.137027,"low","sand",1,0
"66","BTT7","2018-06-13 07:00:00","A69-1602-65066",1.6,"basin","Day",0.103111,"outgoing","seagrass",2,11
"67","BTT49","2018-06-13 07:00:00","A69-1602-65068",3,"channel","Day",0.075177,"low","seagrass",3,1
"68","BTT13","2018-06-13 07:00:00","A69-1602-65069",2.8,"basin","Day",0.137019,"low","seagrass",3,11
"69","BTT54","2018-06-13 07:00:00","A69-1602-65070",3.4,"channel","Day",0.463652,"outgoing","sand",1,8
"70","BTT46","2018-06-13 07:00:00","A69-1602-65071",2,"basin","Day",0.075177,"low","seagrass",1,1
"71","BTT17","2018-06-13 07:00:00","A69-1602-65155",3,"bank","Day",0.103111,"outgoing","sand",1,11
"72","BTT37","2018-06-13 07:00:00","A69-1602-65067",3,"bank","Day",0.075177,"low","seagrass",3,11
"73","BTT18","2018-06-13 08:00:00","A69-1602-65064",2.1,"channel","Day",0.137019,"low","seagrass",2,3
"74","BTT27","2018-06-13 08:00:00","A69-1602-65065",2.7,"bank","Day",0.137019,"low","sand",1,1
